"name","parent","size"
"2.1.11.4.NA.NA.NA.sub.4.1","2.1.11.4.NA.NA.NA.4",
"2.1.11.4.NA.NA.NA.sub.4.2","2.1.11.4.NA.NA.NA.4",
"2.1.11.5.NA.NA.NA.4","2.1.11.NA.NA.NA.NA.3",
"2.1.11.5.1.NA.NA.5","2.1.11.5.NA.NA.NA.4",
"2.1.11.5.1.NA.NA.sub.5.1","2.1.11.5.1.NA.NA.5",
"2.1.11.5.1.NA.NA.sub.5.2","2.1.11.5.1.NA.NA.5",
"2.1.11.5.NA.NA.NA.sub.4.1","2.1.11.5.NA.NA.NA.4",
"2.1.11.5.NA.NA.NA.sub.4.2","2.1.11.5.NA.NA.NA.4",
"2.1.11.5.NA.NA.NA.sub.4.3","2.1.11.5.NA.NA.NA.4",
"2.1.11.NA.NA.NA.NA.sub.3.1","2.1.11.NA.NA.NA.NA.3",
"2.1.11.NA.NA.NA.NA.sub.3.2","2.1.11.NA.NA.NA.NA.3",
"2.1.11.NA.NA.NA.NA.sub.3.3","2.1.11.NA.NA.NA.NA.3",
"2.1.12.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.12.1.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.1.1.NA.NA.5","2.1.12.1.NA.NA.NA.4",
"2.1.12.1.1.NA.NA.sub.5.1","2.1.12.1.1.NA.NA.5",
"2.1.12.1.1.NA.NA.sub.5.2","2.1.12.1.1.NA.NA.5",
"2.1.12.1.2.NA.NA.5","2.1.12.1.NA.NA.NA.4",
"2.1.12.1.2.1.NA.6","2.1.12.1.2.NA.NA.5",
"2.1.12.1.2.1.NA.sub.6.1","2.1.12.1.2.1.NA.6",
"2.1.12.1.2.NA.NA.sub.5.1","2.1.12.1.2.NA.NA.5",
"2.1.12.1.2.NA.NA.sub.5.2","2.1.12.1.2.NA.NA.5",
"2.1.12.1.NA.NA.NA.sub.4.1","2.1.12.1.NA.NA.NA.4",
"2.1.12.1.NA.NA.NA.sub.4.2","2.1.12.1.NA.NA.NA.4",
"2.1.12.10.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.10.1.NA.NA.5","2.1.12.10.NA.NA.NA.4",
"2.1.12.10.1.1.NA.6","2.1.12.10.1.NA.NA.5",
"2.1.12.10.1.1.NA.sub.6.1","2.1.12.10.1.1.NA.6",
"2.1.12.10.1.1.NA.sub.6.2","2.1.12.10.1.1.NA.6",
"2.1.12.10.1.2.NA.6","2.1.12.10.1.NA.NA.5",
"2.1.12.10.1.2.NA.sub.6.1","2.1.12.10.1.2.NA.6",
"2.1.12.10.1.2.NA.sub.6.2","2.1.12.10.1.2.NA.6",
"2.1.12.10.1.3.NA.6","2.1.12.10.1.NA.NA.5",
"2.1.12.10.1.NA.NA.sub.5.1","2.1.12.10.1.NA.NA.5",
"2.1.12.10.1.NA.NA.sub.5.2","2.1.12.10.1.NA.NA.5",
"2.1.12.10.1.NA.NA.sub.5.3","2.1.12.10.1.NA.NA.5",
"2.1.12.10.2.NA.NA.5","2.1.12.10.NA.NA.NA.4",
"2.1.12.10.2.1.NA.6","2.1.12.10.2.NA.NA.5",
"2.1.12.10.2.1.NA.sub.6.1","2.1.12.10.2.1.NA.6",
"2.1.12.10.2.1.NA.sub.6.2","2.1.12.10.2.1.NA.6",
"2.1.12.10.2.NA.NA.sub.5.1","2.1.12.10.2.NA.NA.5",
"2.1.12.10.2.NA.NA.sub.5.2","2.1.12.10.2.NA.NA.5",
"2.1.12.10.3.NA.NA.5","2.1.12.10.NA.NA.NA.4",
