"name","parent","size"
"2.2.7.1.NA.NA.NA.sub.5.1","2.2.7.1.NA.NA.NA.5",
"2.2.7.3.NA.NA.NA.5","2.2.7.NA.NA.NA.NA.3",
"2.2.7.3.NA.NA.NA.sub.5.1","2.2.7.3.NA.NA.NA.5",
"2.2.7.4.NA.NA.NA.5","2.2.7.NA.NA.NA.NA.3",
"2.2.7.4.NA.NA.NA.sub.5.1","2.2.7.4.NA.NA.NA.5",
"2.2.7.NA.NA.NA.NA.4","2.2.NA.NA.NA.NA.NA.2",
"2.2.9.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.9.2.NA.NA.NA.4","2.2.9.NA.NA.NA.NA.3",
"2.2.NA.NA.NA.NA.NA.3","2.NA.NA.NA.NA.NA.NA.1",
"2.2.NA.NA.NA.NA.NA.sub.3.1","2.2.NA.NA.NA.NA.NA.3",
"2.3.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.3.1.NA.NA.NA.NA.3","2.3.NA.NA.NA.NA.NA.2",
"2.3.1.11.NA.NA.NA.6","2.3.1.NA.NA.NA.NA.3",
"2.3.1.9.NA.NA.NA.6","2.3.1.NA.NA.NA.NA.3",
"2.3.1.9.NA.NA.NA.sub.6.1","2.3.1.9.NA.NA.NA.6",
"2.4.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.4.1.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.1.2.NA.NA.NA.3","2.4.1.NA.NA.NA.NA.3",
"2.4.10.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.10.4.NA.NA.NA.4","2.4.10.NA.NA.NA.NA.3",
"2.4.10.6.NA.NA.NA.4","2.4.10.NA.NA.NA.NA.3",
"2.4.11.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.11.6.NA.NA.NA.4","2.4.11.NA.NA.NA.NA.3",
"2.4.11.7.NA.NA.NA.4","2.4.11.NA.NA.NA.NA.3",
"2.4.11.8.NA.NA.NA.4","2.4.11.NA.NA.NA.NA.3",
"2.4.13.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.13.11.NA.NA.NA.4","2.4.13.NA.NA.NA.NA.3",
"2.4.13.15.NA.NA.NA.4","2.4.13.NA.NA.NA.NA.3",
"2.4.13.15.NA.NA.NA.sub.4.1","2.4.13.15.NA.NA.NA.4",
"2.4.13.4.NA.NA.NA.4","2.4.13.NA.NA.NA.NA.3",
"2.4.13.4.NA.NA.NA.sub.4.1","2.4.13.4.NA.NA.NA.4",
"2.4.19.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.19.8.NA.NA.NA.4","2.4.19.NA.NA.NA.NA.3",
"2.4.19.8.NA.NA.NA.sub.4.1","2.4.19.8.NA.NA.NA.4",
"2.4.22.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.22.1.NA.NA.NA.4","2.4.22.NA.NA.NA.NA.3",
"2.4.3.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.3.NA.NA.NA.NA.sub.3.1","2.4.3.NA.NA.NA.NA.3",
"2.4.9.NA.NA.NA.NA.3","2.4.NA.NA.NA.NA.NA.2",
"2.4.NA.NA.NA.NA.NA.sub.2.1","2.4.NA.NA.NA.NA.NA.2",
"2.5.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.5.1.NA.NA.NA.NA.3","2.5.NA.NA.NA.NA.NA.2",
"2.5.1.1.NA.NA.NA.4","2.5.1.NA.NA.NA.NA.3",
"2.5.1.1.2.NA.NA.5","2.5.1.1.NA.NA.NA.4",
"2.5.1.1.2.NA.NA.sub.5.1","2.5.1.1.2.NA.NA.5",
"2.5.2.NA.NA.NA.NA.3","2.5.NA.NA.NA.NA.NA.2",
"2.5.2.1.NA.NA.NA.4","2.5.2.NA.NA.NA.NA.3",
"2.5.3.NA.NA.NA.NA.3","2.5.NA.NA.NA.NA.NA.2",
"2.5.3.3.NA.NA.NA.4","2.5.3.NA.NA.NA.NA.3",
"2.5.3.3.2.NA.NA.5","2.5.3.3.NA.NA.NA.4",
"2.5.4.NA.NA.NA.NA.3","2.5.NA.NA.NA.NA.NA.2",
"2.5.4.1.NA.NA.NA.4","2.5.4.NA.NA.NA.NA.3",
"2.5.4.1.NA.NA.NA.sub.4.1","2.5.4.1.NA.NA.NA.4",
"2.5.4.NA.NA.NA.NA.sub.3.1","2.5.4.NA.NA.NA.NA.3",
"2.5.4.NA.NA.NA.NA.sub.3.3","2.5.4.NA.NA.NA.NA.3",
"2.5.5.NA.NA.NA.NA.3","2.5.NA.NA.NA.NA.NA.2",
"2.5.5.5.NA.NA.NA.4","2.5.5.NA.NA.NA.NA.3",
"2.5.5.5.1.NA.NA.5","2.5.5.5.NA.NA.NA.4",
"2.5.5.5.1.NA.NA.sub.5.1","2.5.5.5.1.NA.NA.5",
"2.5.6.NA.NA.NA.NA.3","2.5.NA.NA.NA.NA.NA.2",
"2.5.6.NA.NA.NA.NA.sub.3.2","2.5.6.NA.NA.NA.NA.3",
"2.6.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.6.1.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.1.NA.NA.NA.NA.sub.3.1","2.6.1.NA.NA.NA.NA.3",
"2.6.12.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.12.1.NA.NA.NA.4","2.6.12.NA.NA.NA.NA.3",
"2.6.12.1.NA.NA.NA.sub.4.1","2.6.12.1.NA.NA.NA.4",
"2.6.12.2.NA.NA.NA.4","2.6.12.NA.NA.NA.NA.3",
"2.6.12.2.NA.NA.NA.sub.4.1","2.6.12.2.NA.NA.NA.4",
"2.6.12.3.NA.NA.NA.4","2.6.12.NA.NA.NA.NA.3",
"2.6.12.3.NA.NA.NA.sub.4.1","2.6.12.3.NA.NA.NA.4",
"2.6.12.4.NA.NA.NA.4","2.6.12.NA.NA.NA.NA.3",
"2.6.12.6.NA.NA.NA.4","2.6.12.NA.NA.NA.NA.3",
"2.6.12.NA.NA.NA.NA.sub.3.1","2.6.12.NA.NA.NA.NA.3",
"2.6.14.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.14.1.NA.NA.NA.4","2.6.14.NA.NA.NA.NA.3",
"2.6.14.1.NA.NA.NA.sub.4.1","2.6.14.1.NA.NA.NA.4",
"2.6.2.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.2.NA.NA.NA.NA.sub.3.1","2.6.2.NA.NA.NA.NA.3",
"2.6.5.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.5.1.NA.NA.NA.4","2.6.5.NA.NA.NA.NA.3",
"2.6.5.1.NA.NA.NA.sub.4.1","2.6.5.1.NA.NA.NA.4",
"2.6.6.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.6.NA.NA.NA.NA.sub.3.1","2.6.6.NA.NA.NA.NA.3",
"2.6.6.NA.NA.NA.NA.sub.3.3","2.6.6.NA.NA.NA.NA.3",
"2.6.8.NA.NA.NA.NA.3","2.6.NA.NA.NA.NA.NA.2",
"2.6.8.NA.NA.NA.NA.sub.3.1","2.6.8.NA.NA.NA.NA.3",
"2.7.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.7.1.NA.NA.NA.NA.3","2.7.NA.NA.NA.NA.NA.2",
"2.7.1.3.NA.NA.NA.4","2.7.1.NA.NA.NA.NA.3",
"2.7.1.3.NA.NA.NA.sub.4.1","2.7.1.3.NA.NA.NA.4",
"2.7.2.NA.NA.NA.NA.3","2.7.NA.NA.NA.NA.NA.2",
"2.7.2.13.NA.NA.NA.4","2.7.2.NA.NA.NA.NA.3",
"2.7.2.13.NA.NA.NA.sub.4.3","2.7.2.13.NA.NA.NA.4",
"2.7.2.6.NA.NA.NA.4","2.7.2.NA.NA.NA.NA.3",
"2.7.2.6.NA.NA.NA.sub.4.4","2.7.2.6.NA.NA.NA.4",
"2.7.2.6.NA.NA.NA.sub.4.5","2.7.2.6.NA.NA.NA.4",
"2.7.3.NA.NA.NA.NA.3","2.7.NA.NA.NA.NA.NA.2",
"2.7.3.12.NA.NA.NA.4","2.7.3.NA.NA.NA.NA.3",
"2.7.3.13.NA.NA.NA.4","2.7.3.NA.NA.NA.NA.3",
"2.7.3.13.1.NA.NA.5","2.7.3.13.NA.NA.NA.4",
"2.7.3.13.1.NA.NA.sub.5.1","2.7.3.13.1.NA.NA.5",
"2.7.3.13.2.NA.NA.5","2.7.3.13.NA.NA.NA.4",
"2.7.3.13.2.NA.NA.sub.5.2","2.7.3.13.2.NA.NA.5",
"2.7.3.13.4.NA.NA.5","2.7.3.13.NA.NA.NA.4",
"2.7.3.13.4.NA.NA.sub.5.1","2.7.3.13.4.NA.NA.5",
"2.7.3.13.NA.NA.NA.sub.4.1","2.7.3.13.NA.NA.NA.4",
"2.7.3.3.NA.NA.NA.4","2.7.3.NA.NA.NA.NA.3",
"2.7.3.3.1.NA.NA.5","2.7.3.3.NA.NA.NA.4",
"2.7.3.3.NA.NA.NA.sub.4.1","2.7.3.3.NA.NA.NA.4",
"2.7.3.6.NA.NA.NA.4","2.7.3.NA.NA.NA.NA.3",
"2.7.3.7.NA.NA.NA.4","2.7.3.NA.NA.NA.NA.3",
"2.7.3.7.1.NA.NA.5","2.7.3.7.NA.NA.NA.4",
"2.7.3.7.1.NA.NA.sub.5.1","2.7.3.7.1.NA.NA.5",
"2.7.3.7.NA.NA.NA.sub.4.1","2.7.3.7.NA.NA.NA.4",
"2.7.3.7.NA.NA.NA.sub.4.2","2.7.3.7.NA.NA.NA.4",
"2.7.4.NA.NA.NA.NA.3","2.7.NA.NA.NA.NA.NA.2",
"2.7.4.1.NA.NA.NA.4","2.7.4.NA.NA.NA.NA.3",
"2.7.4.1.3.NA.NA.5","2.7.4.1.NA.NA.NA.4",
"2.7.4.1.3.NA.NA.sub.5.2","2.7.4.1.3.NA.NA.5",
"2.7.4.1.5.NA.NA.5","2.7.4.1.NA.NA.NA.4",
"2.7.4.1.5.NA.NA.sub.5.1","2.7.4.1.5.NA.NA.5",
"2.7.4.3.NA.NA.NA.4","2.7.4.NA.NA.NA.NA.3",
"2.7.4.3.1.NA.NA.5","2.7.4.3.NA.NA.NA.4",
"2.7.4.3.1.2.NA.6","2.7.4.3.1.NA.NA.5",
"2.7.4.3.1.8.NA.6","2.7.4.3.1.NA.NA.5",
"2.7.4.3.1.8.NA.sub.6.3","2.7.4.3.1.8.NA.6",
"2.7.4.3.NA.NA.NA.sub.4.1","2.7.4.3.NA.NA.NA.4",
"2.7.4.5.NA.NA.NA.4","2.7.4.NA.NA.NA.NA.3",
"2.7.4.5.1.NA.NA.5","2.7.4.5.NA.NA.NA.4",
"2.7.4.5.2.NA.NA.5","2.7.4.5.NA.NA.NA.4",
"2.7.4.5.2.NA.NA.sub.5.1","2.7.4.5.2.NA.NA.5",
"2.7.4.NA.NA.NA.NA.sub.3.1","2.7.4.NA.NA.NA.NA.3",
