"name","parent"
"3.1.1.5.11.1.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.11.1.NA.sub.6.2","3.1.1.5.11.1.NA.6"
"3.1.1.5.11.1.NA.sub.6.3","3.1.1.5.11.1.NA.6"
"3.1.1.5.11.2.NA.sub.6.1","3.1.1.5.11.2.NA.6"
"3.1.1.5.11.2.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.2.NA.sub.6.2","3.1.1.5.11.2.NA.6"
"3.1.1.5.11.2.NA.sub.6.3","3.1.1.5.11.2.NA.6"
"3.1.1.5.11.3.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.3.NA.sub.6.1","3.1.1.5.11.3.NA.6"
"3.1.1.5.11.3.NA.sub.6.2","3.1.1.5.11.3.NA.6"
"3.1.1.5.11.4.NA.sub.6.1","3.1.1.5.11.4.NA.6"
"3.1.1.5.11.4.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.4.NA.sub.6.2","3.1.1.5.11.4.NA.6"
"3.1.1.5.11.4.NA.sub.6.3","3.1.1.5.11.4.NA.6"
"3.1.1.5.11.5.NA.sub.6.1","3.1.1.5.11.5.NA.6"
"3.1.1.5.11.5.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.5.NA.sub.6.2","3.1.1.5.11.5.NA.6"
"3.1.1.5.11.5.NA.sub.6.3","3.1.1.5.11.5.NA.6"
"3.1.1.5.11.6.NA.sub.6.1","3.1.1.5.11.6.NA.6"
"3.1.1.5.11.6.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.6.NA.sub.6.2","3.1.1.5.11.6.NA.6"
"3.1.1.5.11.7.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.7.NA.sub.6.1","3.1.1.5.11.7.NA.6"
"3.1.1.5.11.7.NA.sub.6.2","3.1.1.5.11.7.NA.6"
"3.1.1.5.11.8.NA.sub.6.1","3.1.1.5.11.8.NA.6"
"3.1.1.5.11.8.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.8.NA.sub.6.2","3.1.1.5.11.8.NA.6"
"3.1.1.5.11.8.NA.sub.6.3","3.1.1.5.11.8.NA.6"
"3.1.1.5.11.9.NA.6","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.9.NA.sub.6.1","3.1.1.5.11.9.NA.6"
"3.1.1.5.11.9.NA.sub.6.2","3.1.1.5.11.9.NA.6"
"3.1.1.5.11.9.NA.sub.6.3","3.1.1.5.11.9.NA.6"
"3.1.1.5.11.NA.NA.sub.5.1","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.NA.NA.sub.5.2","3.1.1.5.11.NA.NA.5"
"3.1.1.5.11.NA.NA.sub.5.3","3.1.1.5.11.NA.NA.5"
"3.1.1.5.12.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.12.NA.NA.sub.5.1","3.1.1.5.12.NA.NA.5"
"3.1.1.5.12.NA.NA.sub.5.2","3.1.1.5.12.NA.NA.5"
"3.1.1.5.13.1.NA.6","3.1.1.5.13.NA.NA.5"
"3.1.1.5.13.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.13.1.NA.sub.6.1","3.1.1.5.13.1.NA.6"
"3.1.1.5.13.1.NA.sub.6.2","3.1.1.5.13.1.NA.6"
"3.1.1.5.13.1.NA.sub.6.3","3.1.1.5.13.1.NA.6"
"3.1.1.5.13.2.NA.6","3.1.1.5.13.NA.NA.5"
"3.1.1.5.13.2.NA.sub.6.1","3.1.1.5.13.2.NA.6"
"3.1.1.5.13.NA.NA.sub.5.1","3.1.1.5.13.NA.NA.5"
"3.1.1.5.13.NA.NA.sub.5.2","3.1.1.5.13.NA.NA.5"
"3.1.1.5.14.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.14.NA.NA.sub.5.1","3.1.1.5.14.NA.NA.5"
"3.1.1.5.14.NA.NA.sub.5.2","3.1.1.5.14.NA.NA.5"
"3.1.1.5.14.NA.NA.sub.5.3","3.1.1.5.14.NA.NA.5"
"3.1.1.5.14.NA.NA.sub.5.4","3.1.1.5.14.NA.NA.5"
"3.1.1.5.15.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.15.NA.NA.sub.5.1","3.1.1.5.15.NA.NA.5"
"3.1.1.5.15.NA.NA.sub.5.2","3.1.1.5.15.NA.NA.5"
"3.1.1.5.15.NA.NA.sub.5.3","3.1.1.5.15.NA.NA.5"
"3.1.1.5.2.NA.NA.sub.5.1","3.1.1.5.2.NA.NA.5"
"3.1.1.5.2.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.2.NA.NA.sub.5.2","3.1.1.5.2.NA.NA.5"
"3.1.1.5.2.NA.NA.sub.5.3","3.1.1.5.2.NA.NA.5"
"3.1.1.5.2.NA.NA.sub.5.4","3.1.1.5.2.NA.NA.5"
"3.1.1.5.3.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.3.NA.NA.sub.5.1","3.1.1.5.3.NA.NA.5"
"3.1.1.5.3.NA.NA.sub.5.2","3.1.1.5.3.NA.NA.5"
"3.1.1.5.3.NA.NA.sub.5.3","3.1.1.5.3.NA.NA.5"
"3.1.1.5.4.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.4.NA.NA.sub.5.1","3.1.1.5.4.NA.NA.5"
"3.1.1.5.4.NA.NA.sub.5.2","3.1.1.5.4.NA.NA.5"
"3.1.1.5.4.NA.NA.sub.5.3","3.1.1.5.4.NA.NA.5"
"3.1.1.5.5.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.5.NA.NA.sub.5.1","3.1.1.5.5.NA.NA.5"
"3.1.1.5.5.NA.NA.sub.5.2","3.1.1.5.5.NA.NA.5"
"3.1.1.5.5.NA.NA.sub.5.3","3.1.1.5.5.NA.NA.5"
"3.1.1.5.5.NA.NA.sub.5.4","3.1.1.5.5.NA.NA.5"
"3.1.1.5.5.NA.NA.sub.5.5","3.1.1.5.5.NA.NA.5"
"3.1.1.5.6.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.6.NA.NA.sub.5.1","3.1.1.5.6.NA.NA.5"
"3.1.1.5.6.NA.NA.sub.5.2","3.1.1.5.6.NA.NA.5"
"3.1.1.5.7.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.7.NA.NA.sub.5.1","3.1.1.5.7.NA.NA.5"
"3.1.1.5.8.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.8.NA.NA.sub.5.1","3.1.1.5.8.NA.NA.5"
"3.1.1.5.8.NA.NA.sub.5.2","3.1.1.5.8.NA.NA.5"
"3.1.1.5.9.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.9.NA.NA.sub.5.1","3.1.1.5.9.NA.NA.5"
"3.1.1.5.NA.NA.NA.sub.4.1","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.NA.NA.NA.sub.4.2","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.NA.NA.NA.sub.4.3","3.1.1.5.NA.NA.NA.4"
"3.1.1.NA.NA.NA.NA.sub.3.1","3.1.1.NA.NA.NA.NA.3"
"3.1.1.NA.NA.NA.NA.sub.3.2","3.1.1.NA.NA.NA.NA.3"
"3.1.1.NA.NA.NA.NA.sub.3.3","3.1.1.NA.NA.NA.NA.3"
"3.1.1.NA.NA.NA.NA.sub.3.4","3.1.1.NA.NA.NA.NA.3"
"3.1.2.NA.NA.NA.NA.3","3.1.NA.NA.NA.NA.NA.2"
"3.1.2.NA.NA.NA.NA.sub.3.1","3.1.2.NA.NA.NA.NA.3"
"3.1.2.NA.NA.NA.NA.sub.3.2","3.1.2.NA.NA.NA.NA.3"
"3.1.3.1.NA.NA.NA.4","3.1.3.NA.NA.NA.NA.3"
"3.1.3.NA.NA.NA.NA.3","3.1.NA.NA.NA.NA.NA.2"
"3.1.3.1.NA.NA.NA.sub.4.1","3.1.3.1.NA.NA.NA.4"
"3.1.3.1.NA.NA.NA.sub.4.2","3.1.3.1.NA.NA.NA.4"
"3.1.3.1.NA.NA.NA.sub.4.3","3.1.3.1.NA.NA.NA.4"
"3.1.3.1.NA.NA.NA.sub.4.4","3.1.3.1.NA.NA.NA.4"
"3.1.3.2.1.NA.NA.5","3.1.3.2.NA.NA.NA.4"
